code,name,overall,treatment,morale,openness,growth_20s,longterm,compliance,evaluation,respondents,fetched_at,source_url,status
6432,,,,,,,,,,,2026-09-01,,unavailable
6724,,,,,,,,,,,2026-09-01,,unavailable
7613,,,,,,,,,,,2026-09-01,,unavailable
8011,,,,,,,,,,,2026-09-01,,unavailable
8059,,,,,,,,,,,2026-09-01,,unavailable
8157,,,,,,,,,,,2026-09-01,,unavailable
1976,,,,,,,,,,,2026-09-01,,unavailable
1928,,,,,,,,,,,2026-09-01,,unavailable
2002,,,,,,,,,,,2026-09-01,,unavailable
2109,,,,,,,,,,,2026-09-01,,unavailable
2170,,,,,,,,,,,2026-09-01,,unavailable
2212,,,,,,,,,,,2026-09-01,,unavailable
2229,,,,,,,,,,,2026-09-01,,unavailable
2269,,,,,,,,,,,2026-09-01,,unavailable
2288,,,,,,,,,,,2026-09-01,,unavailable
2579,,,,,,,,,,,2026-09-01,,unavailable
2594,,,,,,,,,,,2026-09-01,,unavailable
2705,,,,,,,,,,,2026-09-01,,unavailable
3048,,,,,,,,,,,2026-09-01,,unavailable
3076,,,,,,,,,,,2026-09-01,,unavailable
3148,,,,,,,,,,,2026-09-01,,unavailable
3167,,,,,,,,,,,2026-09-01,,unavailable
3179,,,,,,,,,,,2026-09-01,,unavailable
3387,,,,,,,,,,,2026-09-01,,unavailable
3405,,,,,,,,,,,2026-09-01,,unavailable
3612,,,,,,,,,,,2026-09-01,,unavailable
3769,,,,,,,,,,,2026-09-01,,unavailable
4434,,,,,,,,,,,2026-09-01,,unavailable
4443,,,,,,,,,,,2026-09-01,,unavailable
4452,,,,,,,,,,,2026-09-01,,unavailable
4668,,,,,,,,,,,2026-09-01,,unavailable
4722,,,,,,,,,,,2026-09-01,,unavailable
4768,,,,,,,,,,,2026-09-01,,unavailable
4911,,,,,,,,,,,2026-09-01,,unavailable
4927,,,,,,,,,,,2026-09-01,,unavailable
5938,,,,,,,,,,,2026-09-01,,unavailable
5970,,,,,,,,,,,2026-09-01,,unavailable
6287,,,,,,,,,,,2026-09-01,,unavailable
6995,,,,,,,,,,,2026-09-01,,unavailable
7267,,,,,,,,,,,2026-09-01,,unavailable
7421,,,,,,,,,,,2026-09-01,,unavailable
7459,,,,,,,,,,,2026-09-01,,unavailable
7476,,,,,,,,,,,2026-09-01,,unavailable
7504,,,,,,,,,,,2026-09-01,,unavailable
7550,,,,,,,,,,,2026-09-01,,unavailable
7956,,,,,,,,,,,2026-09-01,,unavailable
8255,,,,,,,,,,,2026-09-01,,unavailable
8424,,,,,,,,,,,2026-09-01,,unavailable
8593,,,,,,,,,,,2026-09-01,,unavailable
9006,,,,,,,,,,,2026-09-01,,unavailable
9008,,,,,,,,,,,2026-09-01,,unavailable
9031,,,,,,,,,,,2026-09-01,,unavailable
9041,,,,,,,,,,,2026-09-01,,unavailable
9706,,,,,,,,,,,2026-09-01,,unavailable
9842,,,,,,,,,,,2026-09-01,,unavailable
9889,,,,,,,,,,,2026-09-01,,unavailable
9900,,,,,,,,,,,2026-09-01,,unavailable
2752,,,,,,,,,,,2026-09-01,,unavailable
2767,,,,,,,,,,,2026-09-01,,unavailable
4212,,,,,,,,,,,2026-09-01,,unavailable
6349,,,,,,,,,,,2026-09-01,,unavailable
6364,,,,,,,,,,,2026-09-01,,unavailable
7282,,,,,,,,,,,2026-09-01,,unavailable
7740,,,,,,,,,,,2026-09-01,,unavailable
7990,,,,,,,,,,,2026-09-01,,unavailable
9044,,,,,,,,,,,2026-09-01,,unavailable
2737,,,,,,,,,,,2026-09-01,,unavailable
2997,,,,,,,,,,,2026-09-01,,unavailable
3131,,,,,,,,,,,2026-09-01,,unavailable
3176,,,,,,,,,,,2026-09-01,,unavailable
4052,,,,,,,,,,,2026-09-01,,unavailable
4220,,,,,,,,,,,2026-09-01,,unavailable
5122,,,,,,,,,,,2026-09-01,,unavailable
6282,,,,,,,,,,,2026-09-01,,unavailable
6517,,,,,,,,,,,2026-09-01,,unavailable
6810,,,,,,,,,,,2026-09-01,,unavailable
6952,,,,,,,,,,,2026-09-01,,unavailable
7745,,,,,,,,,,,2026-09-01,,unavailable
8005,,,,,,,,,,,2026-09-01,,unavailable
8050,,,,,,,,,,,2026-09-01,,unavailable
8065,,,,,,,,,,,2026-09-01,,unavailable
9110,,,,,,,,,,,2026-09-01,,unavailable
9902,,,,,,,,,,,2026-09-01,,unavailable
2664,,,,,,,,,,,2026-09-01,,unavailable
3374,,,,,,,,,,,2026-09-01,,unavailable
4206,,,,,,,,,,,2026-09-01,,unavailable
4228,,,,,,,,,,,2026-09-01,,unavailable
4578,,,,,,,,,,,2026-09-01,,unavailable
6103,,,,,,,,,,,2026-09-01,,unavailable
6141,,,,,,,,,,,2026-09-01,,unavailable
6333,,,,,,,,,,,2026-09-01,,unavailable
6454,,,,,,,,,,,2026-09-01,,unavailable
6677,,,,,,,,,,,2026-09-01,,unavailable
6861,,,,,,,,,,,2026-09-01,,unavailable
7480,,,,,,,,,,,2026-09-01,,unavailable
7609,,,,,,,,,,,2026-09-01,,unavailable
1939,,,,,,,,,,,2026-09-01,,unavailable
2393,,,,,,,,,,,2026-09-01,,unavailable
2760,,,,,,,,,,,2026-09-01,,unavailable
4203,,,,,,,,,,,2026-09-01,,unavailable
4461,,,,,,,,,,,2026-09-01,,unavailable
5121,,,,,,,,,,,2026-09-01,,unavailable
5186,,,,,,,,,,,2026-09-01,,unavailable
5981,,,,,,,,,,,2026-09-01,,unavailable
6125,,,,,,,,,,,2026-09-01,,unavailable
6250,,,,,,,,,,,2026-09-01,,unavailable
6337,,,,,,,,,,,2026-09-01,,unavailable
6340,,,,,,,,,,,2026-09-01,,unavailable
6490,,,,,,,,,,,2026-09-01,,unavailable
6508,,,,,,,,,,,2026-09-01,,unavailable
6741,,,,,,,,,,,2026-09-01,,unavailable
6804,,,,,,,,,,,2026-09-01,,unavailable
6845,,,,,,,,,,,2026-09-01,,unavailable
6951,,,,,,,,,,,2026-09-01,,unavailable
7239,,,,,,,,,,,2026-09-01,,unavailable
7296,,,,,,,,,,,2026-09-01,,unavailable
7942,,,,,,,,,,,2026-09-01,,unavailable
7944,,,,,,,,,,,2026-09-01,,unavailable
8012,,,,,,,,,,,2026-09-01,,unavailable
8137,,,,,,,,,,,2026-09-01,,unavailable
8154,,,,,,,,,,,2026-09-01,,unavailable
8935,,,,,,,,,,,2026-09-01,,unavailable
1879,,,,,,,,,,,2026-09-01,,unavailable
3036,,,,,,,,,,,2026-09-01,,unavailable
4008,,,,,,,,,,,2026-09-01,,unavailable
4025,,,,,,,,,,,2026-09-01,,unavailable
4116,,,,,,,,,,,2026-09-01,,unavailable
4205,,,,,,,,,,,2026-09-01,,unavailable
4221,,,,,,,,,,,2026-09-01,,unavailable
4385,,,,,,,,,,,2026-09-01,,unavailable
4847,,,,,,,,,,,2026-09-01,,unavailable
4968,,,,,,,,,,,2026-09-01,,unavailable
5208,,,,,,,,,,,2026-09-01,,unavailable
5301,,,,,,,,,,,2026-09-01,,unavailable
5302,,,,,,,,,,,2026-09-01,,unavailable
5401,,,,,,,,,,,2026-09-01,,unavailable
5480,,,,,,,,,,,2026-09-01,,unavailable
5975,,,,,,,,,,,2026-09-01,,unavailable
6284,,,,,,,,,,,2026-09-01,,unavailable
6351,,,,,,,,,,,2026-09-01,,unavailable
6645,,,,,,,,,,,2026-09-01,,unavailable
6742,,,,,,,,,,,2026-09-01,,unavailable
8015,,,,,,,,,,,2026-09-01,,unavailable
8051,,,,,,,,,,,2026-09-01,,unavailable
8075,,,,,,,,,,,2026-09-01,,unavailable
8713,,,,,,,,,,,2026-09-01,,unavailable
9619,,,,,,,,,,,2026-09-01,,unavailable
1899,,,,,,,,,,,2026-09-01,,unavailable
3402,,,,,,,,,,,2026-09-01,,unavailable
4471,,,,,,,,,,,2026-09-01,,unavailable
4527,,,,,,,,,,,2026-09-01,,unavailable
4674,,,,,,,,,,,2026-09-01,,unavailable
5901,,,,,,,,,,,2026-09-01,,unavailable
6062,,,,,,,,,,,2026-09-01,,unavailable
6083,,,,,,,,,,,2026-09-01,,unavailable
6523,,,,,,,,,,,2026-09-01,,unavailable
6998,,,,,,,,,,,2026-09-01,,unavailable
7453,,,,,,,,,,,2026-09-01,,unavailable
7936,,,,,,,,,,,2026-09-01,,unavailable
8088,,,,,,,,,,,2026-09-01,,unavailable
9310,,,,,,,,,,,2026-09-01,,unavailable
1847,,,,,,,,,,,2026-09-01,,unavailable
2060,,,,,,,,,,,2026-09-01,,unavailable
2146,,,,,,,,,,,2026-09-01,,unavailable
2607,,,,,,,,,,,2026-09-01,,unavailable
3034,,,,,,,,,,,2026-09-01,,unavailable
3156,,,,,,,,,,,2026-09-01,,unavailable
4044,,,,,,,,,,,2026-09-01,,unavailable
4045,,,,,,,,,,,2026-09-01,,unavailable
4114,,,,,,,,,,,2026-09-01,,unavailable
4246,,,,,,,,,,,2026-09-01,,unavailable
4611,,,,,,,,,,,2026-09-01,,unavailable
4631,,,,,,,,,,,2026-09-01,,unavailable
4635,,,,,,,,,,,2026-09-01,,unavailable
4912,,,,,,,,,,,2026-09-01,,unavailable
5142,,,,,,,,,,,2026-09-01,,unavailable
5192,,,,,,,,,,,2026-09-01,,unavailable
5976,,,,,,,,,,,2026-09-01,,unavailable
6258,,,,,,,,,,,2026-09-01,,unavailable
6418,,,,,,,,,,,2026-09-01,,unavailable
6588,,,,,,,,,,,2026-09-01,,unavailable
6652,,,,,,,,,,,2026-09-01,,unavailable
7537,,,,,,,,,,,2026-09-01,,unavailable
7747,,,,,,,,,,,2026-09-01,,unavailable
7762,,,,,,,,,,,2026-09-01,,unavailable
7912,,,,,,,,,,,2026-09-01,,unavailable
8022,,,,,,,,,,,2026-09-01,,unavailable
8032,,,,,,,,,,,2026-09-01,,unavailable
8117,,,,,,,,,,,2026-09-01,,unavailable
8876,,,,,,,,,,,2026-09-01,,unavailable
8897,,,,,,,,,,,2026-09-01,,unavailable
9107,,,,,,,,,,,2026-09-01,,unavailable
2207,,,,,,,,,,,2026-09-01,,unavailable
2489,,,,,,,,,,,2026-09-01,,unavailable
3040,,,,,,,,,,,2026-09-01,,unavailable
3676,,,,,,,,,,,2026-09-01,,unavailable
4633,,,,,,,,,,,2026-09-01,,unavailable
4848,,,,,,,,,,,2026-09-01,,unavailable
5101,,,,,,,,,,,2026-09-01,,unavailable
7637,,,,,,,,,,,2026-09-01,,unavailable
9888,,,,,,,,,,,2026-09-01,,unavailable
3569,,,,,,,,,,,2026-09-01,,unavailable
3932,,,,,,,,,,,2026-09-01,,unavailable
4051,,,,,,,,,,,2026-09-01,,unavailable
4258,,,,,,,,,,,2026-09-01,,unavailable
4272,,,,,,,,,,,2026-09-01,,unavailable
5185,,,,,,,,,,,2026-09-01,,unavailable
5632,,,,,,,,,,,2026-09-01,,unavailable
6371,,,,,,,,,,,2026-09-01,,unavailable
6750,,,,,,,,,,,2026-09-01,,unavailable
6752,,,,,,,,,,,2026-09-01,,unavailable
6857,,,,,,,,,,,2026-09-01,,unavailable
6971,,,,,,,,,,,2026-09-01,,unavailable
7914,,,,,,,,,,,2026-09-01,,unavailable
8253,,,,,,,,,,,2026-09-01,,unavailable
8338,,,,,,,,,,,2026-09-01,,unavailable
8364,,,,,,,,,,,2026-09-01,,unavailable
8624,,,,,,,,,,,2026-09-01,,unavailable
8706,,,,,,,,,,,2026-09-01,,unavailable
9101,,,,,,,,,,,2026-09-01,,unavailable
2120,,,,,,,,,,,2026-09-01,,unavailable
2121,,,,,,,,,,,2026-09-01,,unavailable
2602,,,,,,,,,,,2026-09-01,,unavailable
2734,,,,,,,,,,,2026-09-01,,unavailable
4588,,,,,,,,,,,2026-09-01,,unavailable
6033,,,,,,,,,,,2026-09-01,,unavailable
6376,,,,,,,,,,,2026-09-01,,unavailable
6918,,,,,,,,,,,2026-09-01,,unavailable
7246,,,,,,,,,,,2026-09-01,,unavailable
7510,,,,,,,,,,,2026-09-01,,unavailable
7727,,,,,,,,,,,2026-09-01,,unavailable
7733,,,,,,,,,,,2026-09-01,,unavailable
8281,,,,,,,,,,,2026-09-01,,unavailable
8537,,,,,,,,,,,2026-09-01,,unavailable
9432,,,,,,,,,,,2026-09-01,,unavailable
3763,,,,,,,,,,,2026-09-01,,unavailable
4619,,,,,,,,,,,2026-09-01,,unavailable
5985,,,,,,,,,,,2026-09-01,,unavailable
6071,,,,,,,,,,,2026-09-01,,unavailable
6135,,,,,,,,,,,2026-09-01,,unavailable
6176,,,,,,,,,,,2026-09-01,,unavailable
8789,,,,,,,,,,,2026-09-01,,unavailable
2384,,,,,,,,,,,2026-09-01,,unavailable
2820,,,,,,,,,,,2026-09-01,,unavailable
3778,,,,,,,,,,,2026-09-01,,unavailable
6027,,,,,,,,,,,2026-09-01,,unavailable
6379,,,,,,,,,,,2026-09-01,,unavailable
6412,,,,,,,,,,,2026-09-01,,unavailable
6862,,,,,,,,,,,2026-09-01,,unavailable
7552,,,,,,,,,,,2026-09-01,,unavailable
8132,,,,,,,,,,,2026-09-01,,unavailable
8173,,,,,,,,,,,2026-09-01,,unavailable
9506,,,,,,,,,,,2026-09-01,,unavailable
9507,,,,,,,,,,,2026-09-01,,unavailable
3851,,,,,,,,,,,2026-09-01,,unavailable
6570,,,,,,,,,,,2026-09-01,,unavailable
7354,,,,,,,,,,,2026-09-01,,unavailable
8167,,,,,,,,,,,2026-09-01,,unavailable
1379,,,,,,,,,,,2026-09-01,,unavailable
2429,,,,,,,,,,,2026-09-01,,unavailable
2782,,,,,,,,,,,2026-09-01,,unavailable
3054,,,,,,,,,,,2026-09-01,,unavailable
3762,,,,,,,,,,,2026-09-01,,unavailable
4689,,,,,,,,,,,2026-09-01,,unavailable
7513,,,,,,,,,,,2026-09-01,,unavailable
8008,,,,,,,,,,,2026-09-01,,unavailable
8919,,,,,,,,,,,2026-09-01,,unavailable
2685,,,,,,,,,,,2026-09-01,,unavailable
4599,,,,,,,,,,,2026-09-01,,unavailable
7516,,,,,,,,,,,2026-09-01,,unavailable
7856,,,,,,,,,,,2026-09-01,,unavailable
7947,,,,,,,,,,,2026-09-01,,unavailable
